organization,stage,amount,close_date,probability,next_step,notes
AmericanHort,2 - Intention to Move,35000,"Dec 31, 2026",35,7/22 - Discovery call after the annual conference,Early-stage LMS opportunity; discovery call scheduled post-conference to confirm learning goals.
American Philatelic Society,2 - Intention to Move,34000,"Mar 1, 2027",35,5/21 - Demo discovery scheduled; SE alignment complete,"Forj is not providing a seamless learning experience. Wants a blend of community-driven engagement and learning-centric design."
Green Project Management,2 - Intention to Move,52649.57,"Sep 30, 2026",35,6/22 - Executive demo with broader team,"Limited internal resources to manage learning content and operations; fragmented tool stack forcing manual updates and siloed workflows; lack of LTI integration."
Justice & Upward Mobility Project,4 - Decision Point,39246.60,"Aug 8, 2026",70,6/17 - Demo call with Cory,"No existing LMS to deliver training; very new nonprofit (one year old) still building core capabilities; developing new training and professional development programs."
Cape Cod Cranberry Growers' Association,2 - Intention to Move,35000,"Dec 12, 2026",35,6/24 - Intro call,"Manual, time-consuming process of emailing individual certificates after each training; no centralized learning infrastructure."
Massachusetts Society of Certified Public Accountants,1 - Motivation to Move,35000,"Nov 6, 2026",15,Follow up (ZoomInfo-sourced lead),Early motivation-stage account; qualify learning need and buying committee before advancing.
The National Association of Directors of Nursing Administration,1 - Motivation to Move,35000,"Dec 3, 2026",15,Late July intro session,Early motivation-stage account; intro session pending to establish learning priorities.
New York State Veterinary Medical Society,1 - Motivation to Move,0,"Dec 31, 2026",15,tbd,No amount or next step set yet; needs a first substantive discovery conversation.
The Ohio Society of CPA's,3 - Solution Proposal and Evaluation,60000,"Sep 23, 2026",55,6/16 - Tiffany to send sample courses for Ruth to review,"Technical instability of the current LMS, lack of a future-proof LMS strategy, low learner engagement and retention, generational workforce gaps, and compliance pressures (HB 238)."
Oncology Nursing Society,1 - Motivation to Move,0,"Dec 31, 2026",15,Get back on Bill's calendar; consult rescheduled 6/15,Early-stage; consult rescheduled and next step is to re-book time with the buyer.
PW Training,2 - Intention to Move,34000,"Dec 31, 2026",35,6/16 - Michael to send July availability for follow-up discovery,"Current platform (Thinkific) may not support the language access, reporting, mobile use, and client-specific delivery they need."
Species 360,2 - Intention to Move,64500,"Dec 31, 2026",35,6/16 - Send availability and literature to Josh to help build the business case,"Current LMS is a free Moodle-based environment hosted through The Nature Conservancy, creating long-term technical debt; lacks modern AI capabilities and personalized learning paths leadership is requesting."
CGFNS International,1 - Motivation to Move,35000,"Dec 26, 2026",15,Disco/Demo next week,Early motivation-stage account; discovery and demo scheduled for next week.
Wisconsin Technology Council,2 - Intention to Move,57000,"Oct 31, 2026",35,Discovery call with SE - Monday 6/29,"Building and operating the AI Readiness Coordination Hub for an NSF-funded project; need a platform to host, update, and deliver AI literacy content to a diverse, multi-sector audience."
