organization,contact,title,email,vertical,notes
PMTraining,,,,Target account,"Gold-tier target account. Delaware; annual revenue $7,200,000; 100,000 active users/members; 100,000 learners; last activity 17/10/2025. Owner: Pat Ducoffe."
American Concrete Institute,,,,Target account,"Gold-tier target account. Michigan; annual revenue $22,000,000; 35,000 active users/members; last activity 01/04/2026. Owner: Pat Ducoffe."
The Ohio Society of CPA's,,,,Target account,"Gold-tier target account. Ohio; annual revenue $9,075,687; 85,000 active users/members; last activity 12/02/2026. Owner: Pat Ducoffe."
The CPCU Society,,,,Target account,"Gold-tier target account. annual revenue $18,134,000; 22,000 active users/members. Owner: Pat Ducoffe."
Ohio State Bar Association,,,,Target account,"Gold-tier target account. annual revenue $10,880,737; 30,000 active users/members; last activity 12/12/2024. Owner: Pat Ducoffe."
SAE International,,,,Target account,"Gold-tier target account. Pennsylvania; annual revenue $52,800,000; 128,000 active users/members; last activity 20/02/2026. Owner: Pat Ducoffe."
Performance Review Institute,,,,Target account,"Gold-tier target account. annual revenue $42,682,639; 20,000 learners; last activity 26/08/2025. Owner: Pat Ducoffe."
American College of Physicians,,,,Target account,"Gold-tier target account. annual revenue $74,204,242; 160,000 active users/members; 300,000 learners; last activity 01/04/2026. Owner: Pat Ducoffe."
Drug Information Association,,,,Target account,"Gold-tier target account. annual revenue $16,483,000; last activity 27/01/2026. Owner: Pat Ducoffe."
Development Dimensions International,,,,Target account,"Gold-tier target account. annual revenue $161,942,444; last activity 13/03/2026. Owner: Pat Ducoffe."
American Institute for Chartered Property Casualty Underwriters,,,,Target account,"Gold-tier target account. annual revenue $82,000,000; 30,000 active users/members; last activity 13/02/2026. Owner: Pat Ducoffe."
National Federation of Independent Business,,,,Target account,"Gold-tier target account. Tennessee; annual revenue $91,127,701; last activity 26/01/2026. Owner: Pat Ducoffe."
MRA- The Management Association,,,,Target account,"Gold-tier target account. Wisconsin; annual revenue $11,000,000; 5,000 active users/members; last activity 13/02/2026. Owner: Pat Ducoffe."
Association Of Equipment Manufacturers,,,,Target account,"Gold-tier target account. annual revenue $35,310,890; last activity 07/11/2025. Owner: Pat Ducoffe."
"Wisconsin Hospital Association, Inc.",,,,Target account,"Gold-tier target account. annual revenue $10,808,662; 300,000 learners; last activity 03/04/2025. Owner: Pat Ducoffe."
Michigan Nurses Association,,,,Target account,"Silver-tier target account. Michigan; annual revenue $7,405,569; 10,000 active users/members; last activity 26/06/2025. Owner: Pat Ducoffe."
MedCerts,,,,Target account,"Silver-tier target account. annual revenue $12,000,000; 50,000 learners; last activity 16/09/2025. Owner: Pat Ducoffe."
Michigan Manufacturers Association,,,,Target account,"Silver-tier target account. annual revenue $1,946,371; last activity 05/12/2025. Owner: Pat Ducoffe."
Society of Corporate Compliance and Ethics,,,,Target account,"Silver-tier target account. Minnesota; annual revenue $14,122,675; 7,000 active users/members; last activity 02/07/2025. Owner: Pat Ducoffe."
American Academy Of Neurology,,,,Target account,"Silver-tier target account. annual revenue $27,160,380; last activity 29/01/2026. Owner: Pat Ducoffe."
Professional Liability Underwriting Society,,,,Target account,"Silver-tier target account. annual revenue $7,700,000; 45,000 active users/members; last activity 13/02/2026. Owner: Pat Ducoffe."
Ohio Nurses Association,,,,Target account,"Silver-tier target account. Ohio; annual revenue $4,113,689; 12,000 active users/members; last activity 23/01/2026. Owner: Pat Ducoffe."
Ohio Health Care Association,,,,Target account,"Silver-tier target account. annual revenue $4,856,774; last activity 31/03/2025. Owner: Pat Ducoffe."
Ohio Hospital Association,,,,Target account,"Silver-tier target account. annual revenue $9,139,721; 300,000 learners; last activity 31/03/2025. Owner: Pat Ducoffe."
