organization,contact,title,email,vertical,notes
NATIONAL SLOVAK SOCIETY OF THE USA,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Canonsburg, PA; annual revenue $325,199,717; source LMS score 80/100."
PENNSYLVANIA LIFE AND HEALTH INSURANCE GUARANTY ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bala Cynwyd, PA; annual revenue $250,648,552; source LMS score 80/100."
GREATER DELAWARE VALLEY SOCIETY OF TRANSPLANT SURGEONS,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $152,878,717; source LMS score 80/100."
AMERICAN ASSOCIATION FOR CANCER RESEARCH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $137,428,364; source LMS score 80/100."
AMERICAN SOCIETY FOR TESTING AND MATERIALS,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Conshohocken, PA; annual revenue $134,694,228; source LMS score 80/100."
DEFENDER ASSOCIATION OF PHILADELPHIA,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $104,576,114; source LMS score 80/100."
GREATER PHILADELPHIA YOUNG MENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Conshohocken, PA; annual revenue $104,433,568; source LMS score 80/100."
ISDA FRATERNAL ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $99,118,418; source LMS score 80/100."
PENNSYLVANIA STATE EDUCATION ASSOCIATION P S E A,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $85,684,519; source LMS score 80/100."
PHILADELPHIA ORCHESTRA ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $84,378,360; source LMS score 80/100."
AMERICAN BIBLE SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $81,580,102; source LMS score 80/100."
WILLIAM PENN ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $70,565,517; source LMS score 80/100."
CAMBRIA COUNTY ASSOCIATION FOR THE BLIND & HANDICAPPED INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Johnstown, PA; annual revenue $49,625,490; source LMS score 80/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF GREATER BRANDYWINE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: West Chester, PA; annual revenue $47,915,824; source LMS score 80/100."
RIVER CROSSING YOUNG MENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Doylestown, PA; annual revenue $45,643,848; source LMS score 80/100."
ZOOLOGICAL SOCIETY OF PHILADELPHIA,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $43,711,192; source LMS score 80/100."
BAPTIST HOMES SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $42,955,519; source LMS score 80/100."
PENNSYLVANIA HORTICULTURAL SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $40,908,442; source LMS score 80/100."
CORRY MEMORIAL HOSPITAL ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Corry, PA; annual revenue $35,948,729; source LMS score 80/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF GREATER PITTSBURGH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $34,013,685; source LMS score 80/100."
INTERNATIONAL ASSOCIATION OF MACHINISTS DISTRICT 15 HEALTH FUND,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $30,815,000; source LMS score 80/100."
ZOOLOGICAL SOCIETY OF PITTSBURGH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $30,459,605; source LMS score 80/100."
PENNSYLVANIA BALLET ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $26,669,434; source LMS score 80/100."
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harmony, PA; annual revenue $9,312,696; source LMS score 80/100."
PROJECT MANAGEMENT INSTITUTE INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Newtown Sq, PA; annual revenue $390,418,622; source LMS score 77/100."
CARNEGIE INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $115,993,787; source LMS score 77/100."
AMERICAN INSTITUTE FOR CHARTERED PROPERTY CASUALTY UNDERWRITERS,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Malvern, PA; annual revenue $102,923,855; source LMS score 77/100."
INSTITUTE FOR CANCER RESEARCH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $94,545,853; source LMS score 77/100."
THE WISTAR INSTITUTE OF ANATOMY AND BIOLOGY,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $93,130,000; source LMS score 77/100."
EMERGENCY CARE RESEARCH INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Doylestown, PA; annual revenue $80,388,813; source LMS score 77/100."
ACCESSLEX INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: West Chester, PA; annual revenue $72,063,198; source LMS score 77/100."
PERFORMANCE REVIEW INSTITUTE INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Warrendale, PA; annual revenue $70,315,397; source LMS score 77/100."
MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $63,537,877; source LMS score 77/100."
FRANKLIN INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $51,159,403; source LMS score 77/100."
CITY OF PHILADELPHIA TTEE ADMINISTERING WILLS EYE INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $48,269,287; source LMS score 77/100."
CURTIS INSTITUTE OF MUSIC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $47,618,232; source LMS score 77/100."
THE WATSON INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Sewickley, PA; annual revenue $40,296,531; source LMS score 77/100."
THE EDUCATION CENTER AT THE WATSON INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Sewickley, PA; annual revenue $30,263,104; source LMS score 77/100."
LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Erie, PA; annual revenue $230,492,050; source LMS score 72/100."
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $198,027,292; source LMS score 72/100."
DISTRICT COUNCIL 33 HEALTH-WELFARE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $195,882,361; source LMS score 72/100."
NATIONAL BOARD OF MEDICAL EXAMINERS,,,,Credentialing / certification,"assets >$50M; revenue >$25M; priority segment. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Philadelphia, PA; annual revenue $189,758,430; source LMS score 72/100."
YORK COLLEGE OF PENNSYLVANIA,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $149,850,420; source LMS score 72/100."
LAWSCHOOL ADMISSIONS COUNCIL INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Newtown, PA; annual revenue $133,588,322; source LMS score 72/100."
LABORERS DISTRICT COUNCIL OF,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $123,288,554; source LMS score 72/100."
AMERICAN BOARD OF INTERNAL MEDICINE,,,,Credentialing / certification,"assets >$50M; revenue >$25M; priority segment. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Philadelphia, PA; annual revenue $108,351,701; source LMS score 72/100."
